"filename", "language", "PHP", "Markdown", "JSON", "Properties", "PowerShell", "Docker", "HTML", "JavaScript", "YAML", "JSON with Comments", "TypeScript", "PostCSS", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\components\Timeline.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 138, 2, 9, 149
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\components\TimelineCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 139, 6, 15, 160
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\components\TodoList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 656, 26, 48, 730
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\contexts\AdminContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 146, 51, 31, 228
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\contexts\LanguageContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 509, 28, 35, 572
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\contexts\ThemeContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 7, 15, 98
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\hooks\useAdvancedAnimations.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 24, 108
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\hooks\useIntersectionObserver.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\hooks\useScrollAnimation.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 2, 17, 97
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 849, 0, 47, 161, 1057
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 3, 15
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\pages\NotesPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 3, 6, 68
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\pages\TodoPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 2, 5, 70
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\services\adminFilesService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 199, 0, 0, 40, 41, 280
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\services\todoService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 261, 0, 0, 55, 60, 376
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\types\Note.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 12
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\types\Todo.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 1, 24
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\utils\adminAuth.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 232, 0, 0, 14, 43, 289
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\utils\adminFileService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 632, 0, 0, 133, 123, 888
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\utils\analytics.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 15, 18, 102
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\utils\notesService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 313, 0, 0, 61, 61, 435
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\start-php-portable.ps1", "PowerShell", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 7, 12, 55
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\start-php-server.ps1", "PowerShell", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 51
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\tailwind.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 1, 10
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\test-api.html", "HTML", 0, 0, 0, 0, 0, 0, 201, 0, 0, 0, 0, 0, 0, 0, 26, 227
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\tsconfig.app.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 25
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\tsconfig.node.json", "JSON", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 23
"c:\Users\louis-marie.perret.d\Portfolio\portfolio\vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 2, 11
"Total", "-", 271, 1065, 6919, 72, 127, 25, 599, 763, 72, 7, 1911, 885, 6646, 987, 1992, 22341
